Month,Carbondioxide
1982M08,339.65
1982M09,337.8
1982M10,337.69
1982M11,339.09
1982M12,340.32
1983M01,341.2
1983M02,342.35
1983M03,342.93
1983M04,344.77
1983M05,345.58
1983M06,345.14
1983M07,343.81
1983M08,342.22
1983M09,339.69
1983M10,339.82
1983M11,340.98
1983M12,342.82
1984M01,343.52
1984M02,344.33
1984M03,345.11
1984M04,346.88
1984M05,347.25
1984M06,346.61
1984M07,345.22
1984M08,343.11
1984M09,340.9
1984M10,341.17
1984M11,342.8
1984M12,344.04
1985M01,344.79
1985M02,345.82
1985M03,347.25
1985M04,348.17
1985M05,348.75
1985M06,348.07
1985M07,346.38
1985M08,344.52
1985M09,342.92
1985M10,342.63
1985M11,344.06
1985M12,345.38
1986M01,346.12
1986M02,346.79
1986M03,347.69
1986M04,349.38
1986M05,350.04
1986M06,349.38
1986M07,347.78
1986M08,345.75
1986M09,344.7
1986M10,344.01
1986M11,345.5
1986M12,346.75
1987M01,347.86
1987M02,348.32
1987M03,349.26
1987M04,350.84
1987M05,351.7
1987M06,351.11
1987M07,349.37
1987M08,347.97
1987M09,346.31
1987M10,346.22
1987M11,347.68
1987M12,348.82
1988M01,350.29
1988M02,351.58
1988M03,352.08
1988M04,353.45
1988M05,354.08
1988M06,353.66
1988M07,352.25
1988M08,350.3
1988M09,348.58
1988M10,348.74
1988M11,349.93
1988M12,351.21
1989M01,352.62
1989M02,352.93
1989M03,353.54
1989M04,355.27
1989M05,355.52
1989M06,354.97
1989M07,353.74
1989M08,351.51
1989M09,349.63
1989M10,349.82
1989M11,351.12
1989M12,352.35
1990M01,353.47
1990M02,354.51
1990M03,355.18
1990M04,355.98
1990M05,356.94
1990M06,355.99
1990M07,354.58
1990M08,352.68
1990M09,350.72
1990M10,350.92
1990M11,352.55
1990M12,353.91
